,humidity,id,light,moisture,temperature,w.id,volumeRetained,ambTemp,ambTemp(K),temperature(K),ambHumid,rain,rainVolume,windSpeed,windSpeed(ms),windGust,cloudCover,tempDiff,tempDiff%,humidDiff,humidDiff%,Qlatent,Qsensible,BowenRatio
count,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0
mean,65.30287206266318,1376.107049608355,77.22976501305483,1.5639686684073106,21.566579634464752,2159.1070496083553,0.012511749347258494,19.848984624310994,292.9989846243113,294.7165796344629,67.93994778067885,0.05887759791122716,1.8840831331592691,16.251236083550914,4.5142322454308115,30.758114516971265,0.5083028720626629,1.7175950101537565,0.5820768947207762,-2.637075718015666,-5.091332714043557,-6.050860197069305,1.454656390877146,
std,22.101791334897218,438.78755671052807,80.9709692123062,3.254550888513909,5.4292335085506815,438.78755671052807,0.026036407108111326,2.8737648816332784,2.8737648816332757,5.4292335085506815,14.610440468305336,0.12809654686124475,4.099089499559832,4.747867103583115,1.3188519732175308,8.754673813974916,0.23024455963830837,3.7427965125122267,1.2700071063457505,13.639002581794225,22.906454987723766,26.18711496609774,3.1693608209563737,
min,17.0,619.0,0.0,0.0,14.0,1402.0,0.0,13.983333333333334,287.1333333333333,287.15,38.0,0.0,0.0,8.5277,2.3688055555555554,13.0329,0.02,-3.6444444444444457,-1.2320868470972715,-40.0,-66.66666666666666,-80.11526005550552,-3.519566677806296,-inf
25%,45.0,994.0,0.0,0.0,17.0,1777.0,0.0,17.566666666666666,290.71666666666664,290.15,55.00000000000001,0.0,0.0,12.067499999999999,3.352083333333333,26.291059999999998,0.35,-1.0888888888889028,-0.37260232306142715,-11.5,-21.568627450980394,-22.160190301261103,-0.6193400222099741,-0.14843596361848066
50%,69.0,1384.0,54.0,0.0,20.0,2167.0,0.0,20.11111111111111,293.26111111111106,293.15,68.0,0.00508,0.16256,15.607299999999999,4.33536111111111,30.924979999999998,0.58,0.35000000000002274,0.12161223071578277,1.000000000000007,2.2222222222222223,2.180191889266666,0.3032655477936306,-0.09533889782783649
75%,86.0,1754.0,140.5,0.0,25.0,2537.0,0.0,22.266666666666666,295.41666666666663,298.15,82.0,0.05333999999999999,1.7068799999999997,19.82288,5.5063555555555554,35.54281,0.7,3.7194444444444628,1.2514709453275328,7.0,10.817575083426036,10.886526711863883,3.0677620464332493,-0.05435103244837534
max,94.0,2131.0,255.0,14.0,36.0,2914.0,0.11200000000000002,25.27777777777778,298.42777777777775,309.15,92.0,0.7619999999999999,24.383999999999997,26.66113,7.405869444444444,49.34803,1.0,14.883333333333326,5.057770729497053,37.0,69.81132075471697,80.35297568206107,12.61411851647177,inf
