,humidity,id,light,moisture,temperature,w.id,volumeRetained,ambTemp,ambTemp(K),temperature(K),ambHumid,rain,rainVolume,windSpeed,windSpeed(ms),windGust,cloudCover,tempDiff,tempDiff%,humidDiff,humidDiff%,Qlatent,Qsensible,BowenRatio
count,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0,383.0
mean,65.9242819843342,1381.3237597911227,81.2088772845953,0.0,21.37597911227154,2164.323759791123,0.0,19.90359733101248,293.0535973310127,294.5259791122697,67.67885117493472,0.05731911227154049,1.8342115926892957,16.47292519582246,4.575812554395128,31.119320313315907,0.5062402088772844,1.4723817812590656,0.49795033731450383,-1.7545691906005223,-3.7911657998875152,-4.727880965174437,1.303193934920872,
std,21.929730959161798,442.8226568011206,79.64833193247838,0.0,5.364186799553597,442.8226568011207,0.0,2.9014001885351903,2.9014001885351863,5.364186799553588,14.652474970479096,0.12280157749317377,3.929650479781561,4.9089268593565825,1.3635907942657166,8.740478953190546,0.22959437200528404,3.5446238003560793,1.2023656957292732,13.144478018022374,21.988442450390437,25.238860883081404,3.0090909703373536,
min,22.0,620.0,0.0,0.0,14.0,1403.0,0.0,13.983333333333334,287.1333333333333,287.15,38.0,0.0,0.0,8.5277,2.3688055555555554,13.0329,0.02,-3.2777777777777715,-1.1095022284070162,-37.0,-57.14285714285715,-75.58677736962218,-3.4698830600171218,-inf
25%,46.0,1004.0,5.0,0.0,17.0,1787.0,0.0,17.566666666666666,290.71666666666664,290.15,54.0,0.0,0.0,12.08359,3.3565527777777775,27.14383,0.35,-1.1972222222222229,-0.4104309629651878,-11.0,-18.893421723610402,-22.099912410241657,-0.8770140131020787,-0.14390671091445387
50%,69.0,1378.0,53.0,0.0,20.0,2161.0,0.0,20.361111111111114,293.51111111111106,293.15,67.0,0.007619999999999999,0.24383999999999997,16.009549999999997,4.447097222222221,31.23069,0.55,0.03333333333330302,0.011529371072797492,2.0,3.3333333333333335,3.701571899222221,0.021544669112239363,-0.10129056047197613
75%,88.0,1760.0,146.0,0.0,26.0,2543.0,0.0,22.291666666666664,295.44166666666666,299.15,81.0,0.05206999999999999,1.6662399999999997,19.87115,5.519763888888889,35.62326,0.69,3.3388888888888744,1.1383637151903474,7.0,11.11111111111111,11.858613827599996,3.052155165313323,-0.05718484296373368
max,94.0,2156.0,252.0,0.0,37.0,2939.0,0.0,25.27777777777778,298.42777777777775,310.15,92.0,0.7619999999999999,24.383999999999997,29.33207,8.147797222222222,49.34803,1.0,14.066666666666663,4.750914719954967,37.0,69.81132075471697,80.35297568206107,10.89988688354403,inf
