,Qlatent,Qsensible
count,383.0,383.0
mean,-1.4305142978727,0.6627170680207375
std,22.312631164367538,2.5722142382949698
min,-60.95707852388886,-3.519566677806296
25%,-13.770526652611107,-1.0458854586727084
50%,2.7473134554777765,-0.1117294123450304
75%,11.344978277363882,2.1039275472299837
max,73.83786954567773,8.904991470185697
